Scraped_URL,Article,Price,Type,date,Bedrooms,Bathrooms,Surface,Neighborhood,City
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,A VENDRE MAGNIFIQUE VILLA – ROUTE OURIKA – MARRAKECH,15600000,Villa,2025-05-06,4,5,10000,Route d'Ourika,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Magnifique Maison d’hôte à vendre à la palmeraie.,33000000,Villa,2025-05-06,7,7,10000,Palmeraie,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Tres jolie villa moderne route de Lourika,5300000,Villa,2025-05-06,3,3,220,Route d'Ourika,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Jolie villa commerciale de 283 m² à Assif,3500000,Villa,2025-05-06,6,3,283,Assif,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Rare! Magnifique appartement à LA,2150000,Appartement,2025-05-06,2,2,107,Agdal,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Villa neuve Front Golf Contemporaine,8300000,Villa,2025-05-06,6,7,1300,Argan Golf Ressort,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Élégant appartement à La Palmeraie village 2,2200000,Appartement,2025-05-06,2,2,116,Palmeraie,Marrakech
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Villa à vendre au quartier Laymoun,7500000,Villa,2025-05-06,5,4,424,Laymoune,Casablanca
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,"Tamaris, jolie Villa jumelée en vente 3ch",2960000,Villa,2025-05-06,3,2,274,Dar Bouazza,Casablanca
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Appartement sans vis à vis avec terrasse,2700000,Appartement,2025-05-06,3,4,273,Quartier des Hôpitaux,Casablanca
https://www.sarouty.ma/acheter/proprietes-a-vendre.html?page=1,Vente Villa Rénovée Ville Verte Bouskoura,8300000,Villa,2025-05-06,3,3,430,Bouskoura,Casablanca
