Scraped_URL,Article,Price,Type,date,Bedrooms,Bathrooms,Surface,Neighborhood,City
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa 976 m² semi fini à vendre Targa Marrakech,4000000,Villa,2025-04-24,5,3,976,Targa,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,SUPER DEAL,2650000,Appartement,2025-04-24,3,2,227,Racine,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa à vendre sur une grande artère commerciale (haut Agdal),27500000,Villa,2025-04-24,3,3,780,Agdal,Rabat
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,MAGNIFIQUE APPARTEMENT CŒUR HIVERNAGE EN REZ DE JARDIN,3100000,Appartement,2025-04-24,2,1,107,Hivernage,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Vente Maison 4 pièces de 1020 m2 à Marrakech,1300000,Villa,2025-04-24,2,1,1020,Route de Fès,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Vente villa moderne 770m2 avec piscine à Dar Bouazza,8000000,Villa,2025-04-24,4,4,770,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa à Vendre à Mohammedia – Opportunité Exceptionnelle !,5300000,Villa,2025-04-24,4,3,570,Les Cretes,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,À Vendre : Superbe Villa à Mohammedia,6700000,Villa,2025-04-24,7,4,500,Corniche,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,APPT À VENDRE PALMIER,2400000,Appartement,2025-04-24,3,2,161,Palmier,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,GRAND DUPLEX EN VENTE -RACINE-,4500000,Duplex,2025-04-24,4,3,318,Racine,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement à vendre 116 m² EL cinqo à Marrakech,900000,Appartement,2025-04-24,5,1,116,Semlalia,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,VENTE APPARTEMENT AVEC PISCINE À BOUZNIKA,1350000,Appartement,2025-04-24,3,2,110,Essanaoubar,Bouznika
